City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,badger,64.8,-147.5333,8.93,91,100,1.54,US,1724677542
1,waitangi,-43.9535,-176.5597,8.79,97,95,0.89,NZ,1724677544
2,xining,36.6167,101.7667,16.43,85,68,1.35,CN,1724677545
3,al jawf,29.5,38.75,39.74,12,2,1.91,SA,1724677546
4,port-aux-francais,-49.35,70.2167,3.06,83,9,16.61,TF,1724677425
5,martignas-sur-jalle,44.8453,-0.7806,27.87,32,0,4.12,FR,1724677451
6,puerto leguizamo,-0.1934,-74.7819,22.75,87,100,0.95,CO,1724677550
7,pacific grove,36.6177,-121.9166,15.3,85,0,1.79,US,1724677552
8,iskateley,67.6803,53.1512,22.94,49,0,6.64,RU,1724677553
9,iqaluit,63.7506,-68.5145,5.39,93,100,1.34,CA,1724677554
10,haparanda,65.8355,24.1368,16.03,81,99,12.24,SE,1724677556
11,dalbandin,28.8947,64.4101,39.28,7,0,1.43,PK,1724677557
12,aasiaat,68.7098,-52.8699,3.33,96,100,4.8,GL,1724677558
13,olonkinbyen,70.9221,-8.7187,2.31,95,100,13.57,SJ,1724677560
14,page,36.9147,-111.4558,18.71,35,0,0.89,US,1724677561
15,puerto natales,-51.7236,-72.4875,5.25,60,20,5.14,CL,1724677458
16,mejit,10.2753,170.8646,28.18,77,51,10.08,MH,1724677564
17,blackmans bay,-43.0167,147.3167,13.18,78,100,1.34,AU,1724677565
18,tiksi,71.6872,128.8694,1.84,77,100,3.38,RU,1724677567
19,langarud,37.197,50.1535,29.03,61,0,3.46,IR,1724677568
20,adamstown,-25.066,-130.1015,19.94,91,100,8.05,PN,1724677569
21,margaret river,-33.95,115.0667,17.05,80,65,10.51,AU,1724677571
22,avarua,-21.2078,-159.775,22.03,64,20,9.26,CK,1724677572
23,bethel,41.3712,-73.414,22.44,89,100,0.45,US,1724677573
24,anadyr,64.75,177.4833,4.28,93,75,6.0,RU,1724677575
25,isafjordur,66.0755,-23.124,8.02,76,0,3.09,IS,1724677576
26,carutapera,-1.195,-46.02,31.58,55,18,1.76,BR,1724677577
27,kasserine,35.1676,8.8365,33.91,17,90,4.54,TN,1724677580
28,sisimiut,66.9395,-53.6735,4.2,96,100,2.91,GL,1724677582
29,fisterra,42.9049,-9.2629,28.5,70,100,9.11,ES,1724677572
30,saipan,15.1355,145.701,28.39,83,20,2.57,MP,1724677584
31,invercargill,-46.4,168.35,5.01,93,100,0.89,NZ,1724677586
32,ushuaia,-54.8,-68.3,4.81,93,0,0.51,AR,1724677587
33,edinburgh of the seven seas,-37.0676,-12.3116,10.12,59,4,10.44,SH,1724677588
34,roma,43.2128,-75.4557,21.16,84,93,0.45,US,1724677592
35,stanley,54.868,-1.6985,19.04,67,20,5.14,GB,1724677593
36,leava,-14.3,-178.1667,25.16,88,100,4.42,WF,1724677594
37,grytviken,-54.2811,-36.5092,2.0,76,22,2.28,GS,1724677596
38,la passe,45.5549,-0.8967,25.13,34,5,2.79,FR,1724677597
39,mount gambier,-37.8333,140.7667,10.72,95,25,3.99,AU,1724677598
40,mangrol,21.1167,70.1167,27.5,86,100,10.27,IN,1724677600
41,carqueiranne,43.0953,6.073,28.76,55,0,3.6,FR,1724677516
42,shiqian,27.5225,108.2281,27.15,72,100,1.09,CN,1724677602
43,albany,42.6001,-73.9662,20.23,91,0,1.49,US,1724677604
44,bardai,11.65,7.2333,21.73,91,100,2.24,NG,1724677605
45,parras de la fuente,25.4167,-102.1833,18.89,79,0,2.94,MX,1724677606
46,atafu village,-8.5421,-172.5159,28.53,72,10,8.72,TK,1724677608
47,west island,-12.1568,96.8225,26.99,83,40,7.72,CC,1724677609
48,chichen-itza,20.6667,-88.5667,25.84,82,31,0.96,MX,1724677610
49,jamestown,42.097,-79.2353,20.77,87,0,1.54,US,1724677612
50,ribeira grande,38.5167,-28.7,26.54,83,20,5.66,PT,1724677613
51,bijar,35.8668,47.6051,30.32,10,0,10.27,IR,1724677614
52,port lincoln,-34.7333,135.8667,12.77,89,100,5.46,AU,1724677616
53,hermanus,-34.4187,19.2345,14.93,84,100,12.25,ZA,1724677617
54,puerto ayora,-0.7393,-90.3518,18.08,100,94,2.24,EC,1724677619
55,hawaiian paradise park,19.5933,-154.9731,21.73,98,100,3.6,US,1724677620
56,new norfolk,-42.7826,147.0587,13.84,83,100,3.51,AU,1724677622
57,enewetak,11.3474,162.3373,28.96,79,4,7.27,MH,1724677623
58,sinabang,2.4803,96.3801,24.0,86,100,3.06,ID,1724677624
59,uturoa,-16.7333,-151.4333,23.82,73,91,11.53,PF,1724677626
60,oyama,36.3,139.8,30.88,75,25,4.12,JP,1724677627
61,namibe,-15.1961,12.1522,21.16,72,9,6.33,AO,1724677629
62,pitkyaranta,61.5734,31.4792,18.59,55,0,4.48,RU,1724677630
63,kajiki,31.7333,130.6667,27.84,88,46,3.58,JP,1724677631
64,lebu,-37.6167,-73.65,9.53,88,15,1.8,CL,1724677633
65,dudinka,69.4058,86.1778,15.27,66,77,1.14,RU,1724677634
66,ust-nera,64.5667,143.2,10.81,84,90,3.3,RU,1724677636
67,ancud,-41.8697,-73.8203,8.0,83,92,5.78,CL,1724677637
68,flers,48.7372,-0.5747,21.14,50,67,2.55,FR,1724677639
69,bibiani,6.4635,-2.3194,26.96,72,97,2.16,GH,1724677640
70,mazamari,-11.3258,-74.5308,19.69,97,99,0.74,PE,1724677641
71,glace bay,46.1969,-59.957,21.85,81,100,2.24,CA,1724677643
72,husum,54.4858,9.0524,21.13,73,72,6.7,DE,1724677406
73,hithadhoo,-0.6,73.0833,28.74,73,25,3.62,MV,1724677647
74,bredasdorp,-34.5322,20.0403,18.09,66,100,11.29,ZA,1724677648
75,port elizabeth,-33.918,25.5701,24.5,46,100,2.68,ZA,1724677577
76,kletnya,53.3897,33.2171,29.88,32,0,2.5,RU,1724677651
77,bilibino,68.0546,166.4372,6.29,74,97,1.41,RU,1724677652
78,nishifukuma,33.7667,130.4667,30.72,70,8,3.86,JP,1724677481
79,kiunga,-6.1219,141.2906,22.98,99,100,1.62,PG,1724677655
80,kingston,17.997,-76.7936,29.53,66,20,2.57,JM,1724677657
81,lazaro cardenas,17.9583,-102.2,25.51,90,97,1.77,MX,1724677360
82,ta`u,-14.2336,-169.5144,26.27,87,93,6.54,AS,1724677659
83,bachatskiy,54.2927,86.1285,13.75,90,22,4.74,RU,1724677421
84,utrik,11.2278,169.8474,28.15,77,49,10.87,MH,1724677663
85,tolanaro,-25.0319,46.9987,23.31,68,0,9.88,MG,1724677665
86,mucuri,-18.0864,-39.5508,25.43,62,35,2.7,BR,1724677666
87,punta arenas,-53.15,-70.9167,4.01,100,75,2.06,CL,1724677667
88,kodiak,57.79,-152.4072,5.73,87,0,2.57,US,1724677669
89,arraial do cabo,-22.9661,-42.0278,16.92,88,75,7.72,BR,1724677670
90,constantia,44.1833,28.65,32.61,50,0,6.23,RO,1724677479
91,alice springs,-23.7,133.8833,14.75,58,0,0.0,AU,1724677673
92,nantucket,41.2835,-70.0995,23.38,91,40,5.24,US,1724677674
93,tazacorte,28.629,-17.9293,24.54,69,0,6.17,ES,1724677676
94,aflou,34.1128,2.1023,31.56,21,0,5.53,DZ,1724677677
95,yellowknife,62.456,-114.3525,13.09,71,100,5.81,CA,1724677678
96,st. john's,47.5649,-52.7093,23.21,74,40,0.45,CA,1724677680
97,kununurra,-15.7667,128.7333,23.99,60,6,0.0,AU,1724677681
98,longyearbyen,78.2186,15.6401,8.91,81,20,1.03,SJ,1724677683
99,verkhniy baskunchak,48.2256,46.7217,32.41,20,0,3.27,RU,1724677684
100,palmer,42.1584,-72.3287,22.23,88,40,1.54,US,1724677685
101,kalmunai,7.4167,81.8167,29.13,74,28,2.46,LK,1724677687
